date,time,platform,topic,format,product,ai_source,post_length,message_id,status
2026-06-20,06:26,telegram,AI для студентов,Пошаговая инструкция,Simplified,groq,909,102,published
2026-06-20,06:36,telegram,Сравнение AI-сервисов,Лайфхак дня,Writesonic,groq,988,103,published
2026-06-20,07:43,telegram,AI для SMM и контента,Топ-5 инструментов,Murf AI,groq,1217,105,published
2026-06-20,19:02,telegram,AI для создания видео,Новость AI,Writesonic,groq,1148,107,published
2026-06-20,17:37,telegram,Подборка AI-инструментов,Пошаговая инструкция,Writesonic,groq,1217,114,published
2026-06-21,10:37,telegram,Новости мира AI,Обзор инструмента,Vidnoz AI,groq,772,115,published
2026-06-21,17:24,telegram,Лайфхаки с AI,Личная рекомендация,Murf AI,groq,1049,117,published
2026-06-22,12:55,telegram,AI для автоматизации бизнеса,Лайфхак дня,Pictory AI,groq,1192,119,published
2026-06-22,19:22,telegram,AI для студентов,Проблема и решение,Murf AI,groq,1031,122,published
2026-06-23,19:10,telegram,AI для продаж и маркетинга,Топ-5 инструментов,Castmagic,groq,1160,126,published
2026-06-23,17:48,telegram,AI для подкастеров,Пошаговая инструкция,Writesonic,groq,861,127,published
2026-06-24,10:26,telegram,AI для озвучки и голоса,Сравнение сервисов,ElevenLabs,groq,987,129,published
2026-06-24,17:50,telegram,AI для YouTube блогеров,Новость AI,ElevenLabs,groq,1104,131,published
2026-06-25,10:18,telegram,AI для фрилансеров,Обзор инструмента,Reply.io,groq,805,132,published
